file_urls,type,product,product_parent,model,thumb,url,source,brand,product_lang
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/CBP6550.0S-ProductSheet-ES.pdf,Ficha de producto,Hornos Compactos,HORNOS,CBP 6550.0S,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR61214BI29590_121140001_CBP6550_0S_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/cbp6550-0s_121140001/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/CBD6550.0-ES-V02-Manual.pdf,Manual de instrucciones,Hornos Compactos,HORNOS,CBD 6550.0S,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR61210BI29579_121240001_CBD6550_0S_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/cbd6550-0s_121240001/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/CBD6550.0S-ProductSheet-ES.pdf,Ficha de producto,Hornos Compactos,HORNOS,CBD 6550.0S,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR61210BI29579_121240001_CBD6550_0S_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/cbd6550-0s_121240001/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/CBM6550.0W-ProductSheet-ES.pdf,Ficha de producto,Hornos Microondas compactos,HORNOS,CBM 6550.0W,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR61234BI29586_121170010_CBM6550_0W_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/cbm6550-0w_121170010/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/CBM_6550.0S-ProductSheet-ES.pdf,Ficha de producto,Hornos Microondas compactos,HORNOS,CBM 6550.0S,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR61232BI29585_121170001_CBM6550_0S_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/cbm6550-0s_121170001/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/CBM6350.0-UserManual-ES.pdf,Manual de instrucciones,Hornos Microondas compactos,HORNOS,CBM6350.0 GPH6,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR419997BI31778_121170017_CBM6350_0GPH6_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/cbm6350-0gph6_121170017/,home-kueppersbusch.com,Küppersbusch,es
http://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/G6300.0v-DE-EUEnergyfiche.pdf,EU Datenblatt,60 cm,GESCHIRRSPÜLER,G6300.0v,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR71075BI29638_124280001_G6300_0v_SZ7.png,https://www.home-kueppersbusch.com/de-de/product/g6300-0v_124280001/,home-kueppersbusch.com,Küppersbusch,de
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/G6805.0v-DE-EUEnergyfiche.pdf,Energielabel,60 cm,GESCHIRRSPÜLER,G6805.0v,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR71072BI29640_124260001_G6805_0v_SZ7.png,https://www.home-kueppersbusch.com/de-de/product/g6805-0v_124260001/,home-kueppersbusch.com,Küppersbusch,de
http://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/G6805.0v-DE-EUEnergyfiche.pdf,EU Datenblatt,60 cm,GESCHIRRSPÜLER,G6805.0v,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR71072BI29640_124260001_G6805_0v_SZ7.png,https://www.home-kueppersbusch.com/de-de/product/g6805-0v_124260001/,home-kueppersbusch.com,Küppersbusch,de
http://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/G6500.0v-DE-EUEnergyfiche.pdf,EU Datenblatt,60 cm,GESCHIRRSPÜLER,G6500.0v,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR71073BI29639_124270005_G6500_0v_SZ7.png,https://www.home-kueppersbusch.com/de-de/product/g6500-0v_124270005/,home-kueppersbusch.com,Küppersbusch,de
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/DI9340_0E-DE-EN-FR-NL-IT-ES-PT-GR-RU-Manual.pdf,Εγχειρίδια,Καμινάδα νησίδας,ΑΠΟΡΡΟΦΗΤΗΡΕΣ,DI9340.0E,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR80733BI29619_122920001_DI9340_0E_SZ7.png,https://www.home-kueppersbusch.com/el-gr/product/di9340-0e_122920001/,home-kueppersbusch.com,Küppersbusch,el
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/CKV6750.0-EL-Manual.pdf,Εγχειρίδια,Καφετιέρες,ΦΟYΡΝΟΙ,CKV6750.0S,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR61260BI29597_121630001_CKV6750_0_SZ7.png,https://www.home-kueppersbusch.com/el-gr/product/ckv-6750-0_121630001/,home-kueppersbusch.com,Küppersbusch,el
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/MR6330.0-UserManual_DE_FR_NL.pdf,Bedienungsanleitungen,Mikrowellen,BACKÖFEN UND KOMPAKTGERÄTE,MR6330.0GPH,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/1/PR114642BI31078_122040000_MR6330_0_GPH_SZ7.png,https://www.home-kueppersbusch.com/de-de/product/mr6330-0gph_122040000/,home-kueppersbusch.com,Küppersbusch,de
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/FKG8310.0i-EL-IT-PT-ES-Manual.pdf,Εγχειρίδια,Εντοιχιζόμενες Συσκευές,ΨΥΓΕΙΟΚΑΤΑΨΥΚΤΕΣ,FKG8310.1i,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR80754BI29740_123580005_FKG8310_1i_SZ7.png,https://www.home-kueppersbusch.com/el-gr/product/fkg8310-1i_123580005/,home-kueppersbusch.com,Küppersbusch,el
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/FK3800.0i-EL-IT-PT-ES-Manual.pdf,Εγχειρίδια,Εντοιχιζόμενες Συσκευές,ΨΥΓΕΙΟΚΑΤΑΨΥΚΤΕΣ,FK3800.0i,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR70057BI29720_123460007_FK3800_0i_SZ7.png,https://www.home-kueppersbusch.com/el-gr/product/fk3800-0i_123460007/,home-kueppersbusch.com,Küppersbusch,el
